,content,time,author,channel
36,We given you plenty of time to revise and practise,2021-05-16 14:35:31.888,Alfred,unit-1-math
37,Same here dude..! sucks really.,2021-05-16 14:34:58.491,dom_59,unit-1-math
38,same,2021-05-16 14:34:58.376,wickjohn1619,unit-1-math
39,I was hoping for a fucking extension.  Shit!!!,2021-05-16 14:34:35.251,Lee_321,unit-1-math
40,We're not giving any extensions  this time. Be careful.,2021-05-16 14:33:54.390,Rushith_007,unit-1-math
41,Mid-Sem assignment is due next week. are you all working on it??,2021-05-16 14:33:21.938,Rushith_007,unit-1-math
42,"Moving on,",2021-05-16 14:32:50.476,Rushith_007,unit-1-math
43,😿,2021-05-16 14:32:21.011,Lee_321,unit-1-math
44,😆 💯,2021-05-16 14:31:40.275,Alfred,unit-1-math
45,right. make it a habit to refer slides for instructions.,2021-05-16 14:31:15.610,Rushith_007,unit-1-math
46,same here bro.!😒,2021-05-16 14:30:07.518,Lee_321,unit-1-math
47,Everything is there for you to get ready for the test,2021-05-16 14:30:06.775,Alfred,unit-1-math
48,"<#839856675417489438> Students, i said it once and i shall said it again. Please refer to the slides if you dont understand before asking",2021-05-16 14:29:49.203,Alfred,unit-1-math
49,Yeah. in the slides..! duh!,2021-05-16 14:29:02.149,dom_59,unit-1-math
50,😄 see you next semester,2021-05-16 14:28:55.497,arthurlee1,unit-1-math
51,FUCKKKKKKKKKKKK,2021-05-16 14:28:40.654,wickjohn1619,unit-1-math
52,I BEEN WORKING ALL DAY LONG,2021-05-16 14:28:37.087,wickjohn1619,unit-1-math
53,Answers!? PROVIDED?,2021-05-16 14:28:26.356,wickjohn1619,unit-1-math
54,Are you for real right now?,2021-05-16 14:28:16.834,wickjohn1619,unit-1-math
55,Fuck. I'm going with the solution!!!,2021-05-16 14:27:29.345,Lee_321,unit-1-math
56,there is also answer with steps provided,2021-05-16 14:26:40.090,Alfred,unit-1-math
57,give it a try first,2021-05-16 14:26:23.504,Alfred,unit-1-math
58,Yeah. there's a clear explanation. Doubt cleared.,2021-05-16 14:25:52.400,dom_59,unit-1-math
59,got it.,2021-05-16 14:24:54.181,Lee_321,unit-1-math
60,Raise the power of x for both the terms.,2021-05-16 14:24:07.321,Rushith_007,unit-1-math
61,its similar,2021-05-16 14:23:04.777,Alfred,unit-1-math
62,you can refer to slide 31,2021-05-16 14:22:59.953,Alfred,unit-1-math
63,Integrate cos(3x + 4).?? how to do this,2021-05-16 14:22:44.201,wickjohn1619,unit-1-math
64,yeah.,2021-05-16 14:22:34.083,Lee_321,unit-1-math
65,"don't worry, you still have time. prepare well.",2021-05-16 14:22:15.624,Rushith_007,unit-1-math
66,"Seems like, you  all haven't prepared for the test.",2021-05-16 14:21:56.952,Rushith_007,unit-1-math
67,Tell me about it dude!!! sucks.,2021-05-16 14:21:15.435,dom_59,unit-1-math
68,Thank you.,2021-05-16 14:20:52.027,Lee_321,unit-1-math
69,not prepared at all LOL,2021-05-16 14:20:50.144,arthurlee1,unit-1-math
70,alright ... i'll see you peeps next semester .... FUCK ME DEAD,2021-05-16 14:20:40.326,arthurlee1,unit-1-math
71,Found it. Thanks.,2021-05-16 14:20:34.969,dom_59,unit-1-math
72,Great.,2021-05-16 14:20:17.758,dom_59,unit-1-math
73,<@!839835430722863164> yes,2021-05-16 14:19:56.634,Alfred,unit-1-math
74,<@!843012256203407381>  its 20% towards your final grade 🙂,2021-05-16 14:19:48.156,Alfred,unit-1-math
75,On CANVAS?,2021-05-16 14:19:35.166,Lee_321,unit-1-math
76,everything its uploaded,2021-05-16 14:19:18.028,Alfred,unit-1-math
77,Click on materials and resources,2021-05-16 14:18:57.264,Alfred,unit-1-math
78,i thought its assignment based,2021-05-16 14:18:37.188,wickjohn1619,unit-1-math
79,Where Can I find the learning material? <@!269127876039671808>,2021-05-16 14:18:34.044,Lee_321,unit-1-math
80,wait...... we have exam for this!?,2021-05-16 14:18:20.971,wickjohn1619,unit-1-math
81,"for those who have question, please ask",2021-05-16 14:17:49.995,Alfred,unit-1-math
82,check.,2021-05-16 14:17:41.375,dom_59,unit-1-math
83,and we will have an online section in 15 min,2021-05-16 14:17:27.423,Alfred,unit-1-math
84,"<#839856675417489438> Hey guys, please make sure you have your calculator charge for your exam",2021-05-16 14:17:00.342,Alfred,unit-1-math
85,Welcome students to COS1111111.,2021-05-16 14:16:42.165,Rushith_007,unit-1-math
