,content,time,author,channel
27,i dont think it matter too much 🙂,2021-05-16 14:05:11.939,wickjohn1619,unit-2-python-programming
28,okay,2021-05-16 14:04:57.104,arthurlee1,unit-2-python-programming
29,its easier if you could print it otherwise its fine,2021-05-16 14:04:48.393,Alfred,unit-2-python-programming
30,<@!269127876039671808> what should i do,2021-05-16 14:04:10.677,arthurlee1,unit-2-python-programming
31,i dont have a printer,2021-05-16 14:04:01.650,arthurlee1,unit-2-python-programming
32,fuck me dead,2021-05-16 14:03:55.425,arthurlee1,unit-2-python-programming
33,yes <@!839847866579288074>  we mentioned in the  lecture earlier.,2021-05-16 14:03:44.589,Alfred,unit-2-python-programming
34,wait what? printer?,2021-05-16 14:03:08.385,arthurlee1,unit-2-python-programming
35,<#839856689275600996> do not forget to prepare your printer and make sure you are in front oif your monitor 5 mins before the exam.,2021-05-16 14:02:49.258,Alfred,unit-2-python-programming
36,Yeah bro.,2021-05-16 13:58:43.856,dom_59,unit-2-python-programming
37,just tag us if you got any question,2021-05-16 13:58:32.202,arthurlee1,unit-2-python-programming
38,relax,2021-05-16 13:58:21.267,arthurlee1,unit-2-python-programming
39,damn it,2021-05-16 13:58:14.477,wickjohn1619,unit-2-python-programming
40,that is the thing like we got other units to worry about,2021-05-16 13:58:06.654,wickjohn1619,unit-2-python-programming
41,chill my man ... it takes practice.,2021-05-16 13:57:15.227,arthurlee1,unit-2-python-programming
42,this is so fucking hard,2021-05-16 13:56:55.434,wickjohn1619,unit-2-python-programming
43,man this is bullshit,2021-05-16 13:56:47.657,wickjohn1619,unit-2-python-programming
44,https://www.youtube.com/watch?v=_aejASTTVno   refer this link guys. Could be helpful.,2021-05-15 07:30:11.246,Rushith_007,unit-2-python-programming
45,python is much easier to understand compare  to JS,2021-05-15 07:30:10.918,arthurlee1,unit-2-python-programming
46,well... you will get there,2021-05-15 07:29:53.236,arthurlee1,unit-2-python-programming
47,I am new to this . without much experience . ITS REALLY HARD!,2021-05-15 07:29:29.715,wickjohn1619,unit-2-python-programming
48,copy the location path of the installed files and use it to add a new path in the environment. That should do it.,2021-05-15 07:28:40.775,Lee_321,unit-2-python-programming
49,okay,2021-05-15 07:28:27.487,wickjohn1619,unit-2-python-programming
50,"If it doesn't work even after that, you need to change the path in the system environment dude.",2021-05-15 07:27:04.277,Lee_321,unit-2-python-programming
51,you need to install before you can get your bot working,2021-05-15 07:25:50.804,arthurlee1,unit-2-python-programming
52,"Try using this on command prompt  "" -m pip install --upgrade pip setuptools virtualenv """,2021-05-15 07:25:31.056,arthurlee1,unit-2-python-programming
53,"I NEED HELP ! 
```Python was not found; run without arguments to install from the Microsoft Store, or disable this shortcut from Settings```",2021-05-15 07:24:44.500,wickjohn1619,unit-2-python-programming
54,👍 😆,2021-05-15 07:22:14.446,arthurlee1,unit-2-python-programming
55,👍,2021-05-15 07:22:00.650,wickjohn1619,unit-2-python-programming
56,"<#839856689275600996> those who are using Sublime text , if your version is 2 and below , please use F5 to run . Else if the version is the lastest then use CTRL B",2021-05-15 07:21:36.125,Alfred,unit-2-python-programming
57,"fuck, it's that simple!! Totally works.😂",2021-05-15 07:20:32.421,dom_59,unit-2-python-programming
58,"okay thanks , its working now",2021-05-15 07:20:06.814,wickjohn1619,unit-2-python-programming
59,try using  CTRL shift B or CTRL  B,2021-05-15 07:19:56.686,Alfred,unit-2-python-programming
60,i see,2021-05-15 07:19:38.073,Alfred,unit-2-python-programming
61,3.2.2,2021-05-15 07:19:30.003,wickjohn1619,unit-2-python-programming
62,What version are you using?,2021-05-15 07:19:05.135,Alfred,unit-2-python-programming
63,"yeah , i was having the same issue and i just switch to atom",2021-05-15 07:18:54.173,arthurlee1,unit-2-python-programming
64,Same here!! Kinda feel stuck.,2021-05-15 07:18:40.105,dom_59,unit-2-python-programming
65,"Hi professor <@!269127876039671808> , im using sublime text 3 but coulnt seem able to run to script code?",2021-05-15 07:18:07.271,wickjohn1619,unit-2-python-programming
66,,2021-05-15 07:17:05.119,Alfred,unit-2-python-programming
67,"Running Code command :
```
Atom : CTRL shift B
Sublime Text 3 : F5
Note++ : click run button or F5

```",2021-05-15 07:16:44.615,Alfred,unit-2-python-programming
